relative_path,absolute_path,size_bytes,sha256,notes
00_AGENT_MAP.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\00_AGENT_MAP.md,779,c15d0a3cd2e5612d1dc38a273bf784d87385df4436dcaddb8fbf1edc042f5e04,baseline_output
02_OUTPUTS\00_AGENT_MAP.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\00_AGENT_MAP.md,1034,c2837d955d2eef04ed9a4f55749ccfdc954eb0ebc990924ae824288a106f00d8,baseline_output
02_OUTPUTS\ARTIFACT_ROUTING_POLICY.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\ARTIFACT_ROUTING_POLICY.md,1406,a6ccaca216d6459db65154a1a197d8716bfde3c3f7193e5f962817fc3379c2f1,baseline_output
02_OUTPUTS\ARTIFACT_TASK_FOLDER_TEMPLATE.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\ARTIFACT_TASK_FOLDER_TEMPLATE.md,633,e22c733613fc68367532712ab64dcc2bf8f2767045d96ae356f0e034885af20b,baseline_output
02_OUTPUTS\IMPERIUM_FOLDER_MAP.json,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\IMPERIUM_FOLDER_MAP.json,8948,85cc10e12990f3a0c9daaa67746469226c877868070ce34ae52c414e3d54edf9,baseline_output
02_OUTPUTS\INDEX.csv,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\INDEX.csv,720,a1a544fef5295abd58b7dccce775bafc459eabbe27d61688f73e999e01b00b97,baseline_output
02_OUTPUTS\INDEX.json,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\INDEX.json,529,730d7dbdeca7ef533fb2a76626b9ece1e610bcae897442bd4bfe87874e4b71dd,baseline_output
02_OUTPUTS\ROOT_CLEANUP_CANDIDATES.csv,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\ROOT_CLEANUP_CANDIDATES.csv,5212,75fbc2f9818c6bf69a14ecfbd0a54a0eb94bdde561b6475b1beb753d0e1a13bf,baseline_output
02_OUTPUTS\ROOT_STRUCTURE_BASELINE_REPORT_RU.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\02_OUTPUTS\ROOT_STRUCTURE_BASELINE_REPORT_RU.md,1973,f9888b886f501f79b87fecb5d9f37b23fe72df8156fecebfd43721daa6049195,baseline_output
03_RECEIPTS\ROOT_MAP_RECEIPT.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\03_RECEIPTS\ROOT_MAP_RECEIPT.md,454,cbf98d711effd1d09a30e2d321a1b28236db28ab2c20330ee3634d28664e47f2,baseline_output
08_OWNER_SUMMARY\FINAL_SERVITOR_REPORT_RU.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\08_OWNER_SUMMARY\FINAL_SERVITOR_REPORT_RU.md,726,9ccd10873df4433929b575a99a1f50a0a27c587100f75dde36587ac642bf7998,baseline_output
08_OWNER_SUMMARY\OWNER_SUMMARY_RU.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\08_OWNER_SUMMARY\OWNER_SUMMARY_RU.md,467,996fc19eaac2b2a2ecb1f2e932864b92e9c83a98f82ac78e4eaf683892477303,baseline_output
FINAL_STEP_BUNDLE\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING_FINAL_STEP_BUNDLE.zip,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\FINAL_STEP_BUNDLE\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING_FINAL_STEP_BUNDLE.zip,9822,ab763225841861032d751bd16564948ceaceee896ca04c369b4326c74a8f30be,baseline_output
FINAL_STEP_BUNDLE\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING_FINAL_STEP_BUNDLE.zip.sha256,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING\FINAL_STEP_BUNDLE\TASK-20260508-0003-IMPERIUM-ROOT-MAP-ARTIFACT-ROUTING_FINAL_STEP_BUNDLE.zip.sha256,143,fc4cf6656ecb7209843cebc99e45a41475da4e3db7b011a307ade75ba8c64ad9,baseline_output
