relative_path,absolute_path_or_remote_path,location_type,size_bytes_if_available,sha256_if_available,notes
02_OUTPUTS\VM2_CONNECTIVITY_COMMANDS.redacted.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_CONNECTIVITY_COMMANDS.redacted.md,local,196,98a6942dee2de4f22ec040ab6f6bfd4200cbfd4d578e07013f46b64125853966,task output file
02_OUTPUTS\VM2_CONNECTIVITY_PROOF.txt,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_CONNECTIVITY_PROOF.txt,local,67,21b02e992422a97257eea31861b6f1013e1ad6b8d01360b9b9eabd4d851d64d4,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\00_AGENT_MAP.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\00_AGENT_MAP.md,local,691,1b24f684dba65633707332d166ad870867a46bee5e3e2295c77e52fb1d081707,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\SERVITOR_VM2_PROFILE.yaml,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\SERVITOR_VM2_PROFILE.yaml,local,541,0916db074e30a918f3262d074d6ad6d783f882e6bf482d74bc7a99b3d583d26a,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_CONTOUR_CARD.yaml,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_CONTOUR_CARD.yaml,local,1049,649c704127a3ee4dabac1962addef7e23a121b49910c9e4c84b94e564bbce5d3,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_STAGE_BUNDLE_POLICY.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_STAGE_BUNDLE_POLICY.md,local,333,bd6b761b9b33569b8eb58eae703ab0ea5f2eaea86652fa7b13e956efc4aae671,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_WORKER_FOLDER_SEMANTIC_MAP.json,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_WORKER_FOLDER_SEMANTIC_MAP.json,local,7521,b9f678dbf082d338495198efa7056d626527308d73357bedc979e00838d67032,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_WORKER_FOLDER_SEMANTIC_MAP.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_WORKER_FOLDER_SEMANTIC_MAP.md,local,8033,0d4b8152b3c255458248a56735f36bb0a03170c7d408a6497b08f6c2721ec1b9,task output file
02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_WRITE_POLICY.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_FILES\VM2_WRITE_POLICY.md,local,314,74a9a4560e53aa189da3564ee7efbcd48f30265b0e0f0d2afc0d8c3eb251de7e,task output file
02_OUTPUTS\VM2_SEMANTIC_UPLOAD_COMMANDS.redacted.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_SEMANTIC_UPLOAD_COMMANDS.redacted.md,local,194,cae4ee09b7c3bc916dd98b4a7d2c0a6bfcfd35688e1b1a75864e573283ea22ed,task output file
02_OUTPUTS\VM2_WORKER_ROOM_CREATE_COMMANDS.redacted.md,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_WORKER_ROOM_CREATE_COMMANDS.redacted.md,local,620,d1e0ca01e9c56f6a13b03c4439570fa9c667fc0c926c3256b3f99738086f4af9,task output file
02_OUTPUTS\VM2_WORKER_ROOM_LS_PROOF.txt,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_WORKER_ROOM_LS_PROOF.txt,local,1335,b3d05f12a847987fec6ee495475b096c08587baa80cdc164b63b3484e96c21f5,task output file
02_OUTPUTS\VM2_WORKER_STATUS_PROOF.txt,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\VM2_WORKER_STATUS_PROOF.txt,local,212,bb4d5f3c9469e153a45023f23da3693b9564c8ca3b637262c33bc7123df5722b,task output file
02_OUTPUTS\WORKER_STATUS.json,E:\IMPERIUM\ARTIFACTS\TASK-20260508-0006-VM2-WORKER-ROOM-SEMANTIC-BOOTSTRAP\02_OUTPUTS\WORKER_STATUS.json,local,568,0ecb798ad52af0d0c3fe5217692639a8100482353993a5f2534df4a0e0cfb81e,task output file
/home/vboxuser2/IMPERIUM_WORKER_ROOM/00_AGENT_MAP.md,/home/vboxuser2/IMPERIUM_WORKER_ROOM/00_AGENT_MAP.md,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_WORKER_FOLDER_SEMANTIC_MAP.md,/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_WORKER_FOLDER_SEMANTIC_MAP.md,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_WORKER_FOLDER_SEMANTIC_MAP.json,/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_WORKER_FOLDER_SEMANTIC_MAP.json,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_CONTOUR_CARD.yaml,/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_CONTOUR_CARD.yaml,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/SERVITOR_VM2_PROFILE.yaml,/home/vboxuser2/IMPERIUM_WORKER_ROOM/SERVITOR_VM2_PROFILE.yaml,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_WRITE_POLICY.md,/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_WRITE_POLICY.md,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_STAGE_BUNDLE_POLICY.md,/home/vboxuser2/IMPERIUM_WORKER_ROOM/VM2_STAGE_BUNDLE_POLICY.md,remote,,,expected remote semantic file path
/home/vboxuser2/IMPERIUM_WORKER_ROOM/99_WORKER_STATUS/WORKER_STATUS.json,/home/vboxuser2/IMPERIUM_WORKER_ROOM/99_WORKER_STATUS/WORKER_STATUS.json,remote,,,expected remote semantic file path
