"FullName","Length","LastWriteTime"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\00_MACHINE_README.json","2410","07.05.2026 10:33:19"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\README_AGENT.md","1090","07.05.2026 10:33:19"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651.zip","11951","08.05.2026 16:52:28"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651.zip.sha256","104","08.05.2026 16:52:28"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\00_CONNECTION_PROFILES\VM2_ROUTE_ALIAS.md","374","08.05.2026 18:34:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\04_DIAGNOSTICS\SSH_KEYS_TARGETS_REPORT_20260507_105346.txt","27739","07.05.2026 10:53:47"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES\PC_TO_VM2_PROMPT_DISPATCH_AND_OPEN_RECIPE.md","2224","08.05.2026 18:59:45"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES\PC_TO_VM2_PYTHON_TOOLS_RECIPE.md","1293","08.05.2026 19:14:46"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES\PC_TO_VM2_WORKER_ROOM_RECIPES.md","1322","08.05.2026 18:34:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES\PC_TO_VM3_PROMPT_HANDOFF_TESTED_OK_20260507.md","949","07.05.2026 9:58:18"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\05_SUCCESSFUL_RECIPES\VM3_TO_PC_FETCH_LATEST_BUNDLE_TESTED_OK.md","855","07.05.2026 14:58:16"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\fetch_vm2_stage_bundle.py","6679","08.05.2026 19:12:40"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\send_prompt_to_vm2.py","6846","08.05.2026 19:12:40"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\WRITE_SSH_LIBRARY_MANIFESTS.py","6374","07.05.2026 10:33:11"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\PC_TO_VM3_PROMPT_HANDOFF\SEND_LATEST_DRAFT_TO_VM3.py","1191","07.05.2026 10:29:51"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\PC_TO_VM3_PROMPT_HANDOFF\send_prompt_to_vm3.py","4330","07.05.2026 10:06:09"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\PC_TO_VM3_PROMPT_HANDOFF\TOOL_MANIFEST.json","954","07.05.2026 10:33:19"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\VM3_TO_PC_FETCH_BUNDLE\fetch_latest_vm3_bundle.py","4105","07.05.2026 10:27:08"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\06_TOOLS\VM3_TO_PC_FETCH_BUNDLE\TOOL_MANIFEST.json","686","07.05.2026 10:33:19"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\00_README_RU.md","527","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\ARTIFACT_POINTER.md","552","08.05.2026 18:30:43"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\FINAL_SERVITOR_REPORT_RU.md","660","08.05.2026 16:52:28"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\01_ROUTE_MATRIX\LOCAL_VALUES_NOT_INCLUDED.md","504","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\01_ROUTE_MATRIX\VM2_ROUTE_ALIAS.md","234","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\01_ROUTE_MATRIX\VM2_ROUTE_MATRIX.redacted.yaml","779","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\01_ROUTE_MATRIX\VM2_WORKING_PATHS.md","403","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\02_VM3_REFERENCE_REVIEW\VM3_SEND_SCRIPT_NOTES.md","532","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\02_VM3_REFERENCE_REVIEW\VM3_SEND_SCRIPTS_FOUND.csv","1055","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\02_VM3_REFERENCE_REVIEW\VM3_TO_VM2_DISPATCH_ADAPTATION_NOTES.md","851","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\03_SMOKE_TEST_PROMPT_DISPATCH\DISPATCH_COMMANDS.redacted.md","1400","08.05.2026 16:52:28"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\03_SMOKE_TEST_PROMPT_DISPATCH\DISPATCH_RECEIPT.md","1085","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\03_SMOKE_TEST_PROMPT_DISPATCH\PROMPT.sha256.remote.txt","175","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\03_SMOKE_TEST_PROMPT_DISPATCH\PROMPT.txt","523","08.05.2026 16:51:26"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\03_SMOKE_TEST_PROMPT_DISPATCH\REMOTE_LS_PROOF.txt","342","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\03_SMOKE_TEST_PROMPT_DISPATCH\SHA256_MATCH_VERDICT.md","316","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\04_LIBRARY_REGISTRATION\NEXT_SCRIPTING_NOTES.md","425","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\04_LIBRARY_REGISTRATION\SSH_LIBRARY_INDEX_APPEND.md","243","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\04_LIBRARY_REGISTRATION\VM2_DISPATCH_BASELINE_CARD.yaml","916","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\99_SECURITY_NOTES\DO_NOT_INCLUDE_IN_ARCHIVE.md","188","08.05.2026 16:51:27"
"E:\IMPERIUM\SSH_COMMAND_LIBRARY\VM2_ROUTE_BASELINE_20260508_1651\99_SECURITY_NOTES\SECRET_REDACTION_NOTES.md","257","08.05.2026 16:51:27"
