"relative_path","absolute_path_or_remote_path","location_type","size_bytes_if_available","sha256_if_available","notes"
"00_AGENT_MAP.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\00_AGENT_MAP.md","pc_local","1588","9759197ce0c7d0ebe92123885ce07861e0f1c3842fe577ecb4cb5eb087f625cb","generated_or_report_file"
"01_INPUTS\INPUT_EVIDENCE_LIST.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\01_INPUTS\INPUT_EVIDENCE_LIST.md","pc_local","444","9de250da61c8521bd482329d9fff29454847c269697a0b8009846503fff2a7ca","generated_or_report_file"
"02_OUTPUTS\COMMAND_EXAMPLES\PYTHON_COMMAND_EXAMPLES_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\COMMAND_EXAMPLES\PYTHON_COMMAND_EXAMPLES_V2.md","pc_local","1078","84db74a4bf3b57f73829757f67788deff2ec0ea1eb996814f6c46534f73ac969","generated_or_report_file"
"02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.csv","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.csv","pc_local","3898","614bc7e91a867393986eb834ac9afd2b7a48a45fc1162998611879e6e6fd319a","generated_or_report_file"
"02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\ARTIFACT_TASK_INDEX_V2.json","pc_local","9305","1e1d4cb8a1347c59f428fa0f882ca481da2f4ae27894ef25ed5004566253ada6","generated_or_report_file"
"02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.csv","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.csv","pc_local","2169","6222be4082b6489fccd784b8fb65c4f101f73ad29b8e873792c705d5888240a2","generated_or_report_file"
"02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\INDEXES\EXECUTOR_INDEX_V1.json","pc_local","4971","b4f5b7b9b1e7fcc3da0b8c67fc246847fc0daf9a2ac647cb8d7d59afa0e4338f","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_PACK_SECURITY_REDACTION_REPORT.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_PACK_SECURITY_REDACTION_REPORT.md","pc_local","1011","5a20ef55e21d2ea901f6143aee190608f4cabe6d8e2ebcd1572d1092a94881f1","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.json","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.json","pc_local","1190","3fd6c28e1de23783044590788cbcd3bed7069e640988ba65975d30c54f3bd9d1","generated_or_report_file"
"02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.md","E:\IMPERIUM\ARTIFACTS\TASK-20260508-0012-CONTINUITY-PACK-REDACTION-AND-PROTOCOL-REPAIR-V1\02_OUTPUTS\REDACTED_HANDOFF_V2\CONTINUITY_SUMMARY_V2.md","pc_local","1078","2334b8b79ccac3b907bffe32ea8353f437f39ab5f0cad01f7304d3d40789836f","generated_or_report_file"
